,cell_type
noklnjjk-1,Endothelial
noklojfa-1,Endothelial
noklomdo-1,Fibroblasts
nokmagpd-1,Unknown
nokmaiad-1,CD8+ T cells
nokmbcdi-1,Fibroblasts
nokmedhg-1,Macrophages
nokmfckl-1,Endothelial
nokmfpkf-1,Unknown
nokmjlol-1,CD4+ T cells
nokmkigb-1,B cells
nokmnilk-1,B cells
nokmoblj-1,B cells
nokmppoj-1,Unknown
nokncljj-1,Endothelial
nokngkjh-1,B cells
nokngopi-1,Unknown
nokngpmh-1,Endothelial
noknimbe-1,B cells
noknjeaa-1,B cells
noknlmlf-1,B cells
nokodmdl-1,B cells
nokofboi-1,Endothelial
nokohpdg-1,Fibroblasts
nokolbmp-1,B cells
nokoodon-1,B cells
nokpelnd-1,Unknown
nokphijl-1,Endothelial
nokphkke-1,B cells
nokpldkp-1,Endothelial
nokpnnmj-1,Unknown
nolaakop-1,Macrophages
nolabaod-1,Endothelial
nolabegi-1,CD4+ T cells
nolacpjo-1,CD8+ T cells
noladmah-1,Unknown
nolajelj-1,CD8+ T cells
nolalkbn-1,CD8+ T cells
nolanlma-1,CD8+ T cells
nolbaoph-1,Unknown
nolbbidh-1,Endothelial
nolbdilp-1,Unknown
nolbfdlf-1,Unknown
nolbgbef-1,Endothelial
nolbggln-1,Endothelial
nolbhljl-1,B cells
nolbmoee-1,Endothelial
nolbnhnd-1,Endothelial
nolbonoi-1,Endothelial
nolcbpkp-1,Unknown
nolcemgk-1,Endothelial
nolchfcm-1,B cells
nolcijfd-1,Macrophages
nolclbcf-1,Endothelial
nolcodbg-1,Endothelial
nolcokab-1,CD8+ T cells
noldaalm-1,Macrophages
noldcaif-1,Unknown
noldcbjj-1,Endothelial
noldchac-1,CD8+ T cells
noldepll-1,Endothelial
noldgoib-1,Endothelial
noldhohg-1,Fibroblasts
noldhokl-1,Unknown
noldikpe-1,CD8+ T cells
noldjoeb-1,Unknown
noldkenp-1,Unknown
noldmoab-1,Unknown
noldoamg-1,Unknown
noldopge-1,Unknown
noldplfk-1,Endothelial
noledccf-1,CD8+ T cells
noleijpo-1,Endothelial
nolepdgc-1,Endothelial
nolfbnff-1,Unknown
nolfcgbg-1,Endothelial
nolfelkj-1,Unknown
nolffcbh-1,Unknown
nolfflbc-1,Unknown
nolfhggj-1,Unknown
nolfhgkg-1,CD4+ T cells
nolfiidf-1,Unknown
nolfjhdn-1,B cells
nolfpdaa-1,B cells
nolfpdon-1,CD8+ T cells
nolfpfpj-1,Unknown
nolgbgnh-1,CD4+ T cells
nolgfjki-1,Epithelial
nolggelj-1,Unknown
nolggmbi-1,B cells
nolgjfjd-1,Macrophages
nolgllfh-1,Macrophages
nolgmgmi-1,Endothelial
nolgoabg-1,Macrophages
nolgpdih-1,Unknown
nolhddko-1,Endothelial
nolhghfa-1,Unknown
nolhkann-1,Unknown
nolhlhak-1,Unknown
nolhlmco-1,CD8+ T cells
nolhlpak-1,CD4+ T cells
nolhmohe-1,Unknown
nolhobbk-1,Macrophages
nolhpkad-1,Epithelial
nolhpogl-1,Unknown
nolicohg-1,Fibroblasts
nolidbfa-1,Endothelial
nolifbaj-1,Macrophages
nolifkpk-1,CD8+ T cells
nolihcfm-1,Unknown
noliimbh-1,Unknown
nolijbhe-1,Macrophages
nolinphg-1,Unknown
noljebpj-1,Unknown
noljhilb-1,Unknown
noljiafd-1,Unknown
noljkggm-1,CD4+ T cells
noljkmlk-1,Unknown
noljlbhd-1,CD4+ T cells
noljnnfp-1,Unknown
nolkankl-1,Unknown
nolkbhlm-1,Unknown
nolkdjpk-1,B cells
nolkepdp-1,Endothelial
nolkhhkp-1,Unknown
nolkiapf-1,Endothelial
nolkkabf-1,Unknown
nolkkmbn-1,Endothelial
nolkkohf-1,CD8+ T cells
nolklpcn-1,Endothelial
nolkmakj-1,Endothelial
nolknlhn-1,Endothelial
nolldlaa-1,CD4+ T cells
nolldmjn-1,Endothelial
nollihdh-1,Endothelial
nolllcnd-1,CD4+ T cells
nollmdbi-1,Macrophages
nolmbnog-1,Unknown
nolmgbge-1,Unknown
nolmmjog-1,Unknown
nolmpjle-1,Unknown
nolncaek-1,CD8+ T cells
nolndgfa-1,Macrophages
nolneoma-1,CD4+ T cells
nolnnidl-1,Unknown
nolnpjje-1,CD4+ T cells
noloaeoo-1,B cells
nolocjhg-1,Macrophages
nolodjpf-1,Unknown
nolokbjj-1,Endothelial
nolpbjdg-1,Unknown
nolpdnah-1,Unknown
nolpenad-1,Unknown
nolpfiem-1,Unknown
nolpgban-1,Fibroblasts
nolpmfkd-1,Endothelial
nolpnjid-1,Unknown
nolpohmi-1,CD4+ T cells
nolpoomf-1,CD8+ T cells
nomadgic-1,B cells
nomalekm-1,Endothelial
nomannke-1,Unknown
nomaobcd-1,Unknown
nombbdpk-1,Endothelial
nombcpbl-1,Unknown
nombfjan-1,B cells
nombgggk-1,B cells
nombiepp-1,B cells
nombjfbk-1,B cells
nomblmki-1,B cells
nombmcmf-1,Macrophages
nombmdhj-1,B cells
nombmmpa-1,B cells
nombplin-1,Unknown
nomcchln-1,B cells
nomccmhp-1,B cells
nomcejla-1,CD4+ T cells
nomcfaii-1,Unknown
nomcfnae-1,Fibroblasts
nomchadj-1,Endothelial
nomchnic-1,Unknown
nomcjilo-1,Unknown
nomcjjcl-1,Macrophages
nomcjnji-1,Unknown
nomclcgc-1,Endothelial
nomclkal-1,Macrophages
nomcoiig-1,Macrophages
nomcolmk-1,CD8+ T cells
nomdaaip-1,Unknown
nomdcabi-1,Macrophages
nomddlhk-1,Unknown
nomdedpa-1,Epithelial
nomdellg-1,Endothelial
nomdghao-1,Epithelial
nomdjckd-1,Endothelial
nomdjpcm-1,Fibroblasts
nomdmjnn-1,Fibroblasts
nomdpkcg-1,Macrophages
nomedbce-1,Unknown
nomeehhk-1,Unknown
nomeepll-1,Unknown
nomefdnl-1,Endothelial
nomegcdk-1,Unknown
nomehaaj-1,Macrophages
nomekoae-1,Macrophages
nomelhal-1,Epithelial
nomeokcm-1,Unknown
nomfeifn-1,Unknown
nomfemmb-1,Unknown
nomfkogf-1,Epithelial
nomflkdb-1,Fibroblasts
nomfmafl-1,Endothelial
nomfmlfj-1,Fibroblasts
nomgaekd-1,Macrophages
nomgjnen-1,Endothelial
nomgmdib-1,Endothelial
nomgpaak-1,Fibroblasts
nomhdifd-1,Unknown
nomheceg-1,Macrophages
nomhfhje-1,Unknown
nomibebd-1,CD8+ T cells
nomighon-1,Unknown
nomikafn-1,Endothelial
nomikman-1,Endothelial
nomiljao-1,Epithelial
nomipdgb-1,Endothelial
nomjabkm-1,Unknown
nomjaonn-1,Epithelial
nomjbkae-1,Macrophages
nomjcmnm-1,Fibroblasts
nomjdnbn-1,Endothelial
nomjecng-1,Unknown
nomjkdgj-1,Epithelial
nomjkfel-1,Macrophages
nomjnhad-1,Unknown
nomjoakk-1,Unknown
nomjofhd-1,Unknown
nomkbcjm-1,Unknown
nomkcadk-1,Macrophages
nomkcmfi-1,Macrophages
nomkkjej-1,CD8+ T cells
nomkleeg-1,Unknown
nomkllcf-1,Endothelial
nomkllkd-1,Endothelial
nomkmjcd-1,Unknown
nomkmngj-1,Unknown
nomknmna-1,Unknown
nomkomkj-1,Unknown
nomkonna-1,Fibroblasts
nomkpjba-1,Unknown
nomkppgl-1,Unknown
nomlglff-1,Unknown
nomlhnlj-1,Unknown
nomlidnh-1,Unknown
nomljgmc-1,Unknown
nomlnhgp-1,Endothelial
nomloloc-1,Unknown
nomlpjii-1,Unknown
nommaecm-1,Endothelial
nommajgh-1,Endothelial
nommfcik-1,Unknown
nommhhen-1,Unknown
nommpimj-1,Macrophages
nomncfhe-1,Unknown
nomneokh-1,Unknown
nomneopm-1,Unknown
nomnjhga-1,Unknown
nomnjoka-1,Macrophages
nomnkoof-1,Unknown
nomnmbgh-1,Endothelial
nomobaea-1,Fibroblasts
nomogkpa-1,Unknown
nomokoek-1,Unknown
nompadpm-1,Unknown
nompfddg-1,Unknown
nompggel-1,Unknown
nompmnoj-1,Macrophages
nonabnil-1,Unknown
nonafind-1,Endothelial
nonaggap-1,Unknown
nonajoio-1,Endothelial
nonalbga-1,Endothelial
nonamkhk-1,CD8+ T cells
nonbdfak-1,Endothelial
nonbeaoj-1,Unknown
nonbeidn-1,Unknown
nonbklbp-1,Macrophages
nonbpboc-1,Unknown
nonccfjm-1,Macrophages
noncdbmb-1,Unknown
noncfedk-1,Unknown
noncfilf-1,Unknown
noncfpoh-1,Endothelial
noncgbjd-1,Macrophages
noncgcpk-1,Fibroblasts
noncijpf-1,Endothelial
nonckana-1,Endothelial
nonckneh-1,CD8+ T cells
noncmbgd-1,Macrophages
noncplik-1,Unknown
nondbmbo-1,Endothelial
nondbpka-1,Endothelial
nondcehm-1,CD8+ T cells
nondcgcb-1,Macrophages
nondeddh-1,Macrophages
nondednm-1,Epithelial
nondekeo-1,Unknown
nondjdfa-1,Endothelial
nondjflb-1,Epithelial
nondkcmm-1,Macrophages
nondladh-1,Fibroblasts
nondmfpc-1,Macrophages
nondmiog-1,Macrophages
nonefgeh-1,Epithelial
nonefphh-1,CD8+ T cells
nonehibp-1,Unknown
nonehlfc-1,Fibroblasts
nonejjnd-1,Epithelial
nonemfll-1,Macrophages
nonemgki-1,Macrophages
nonenolk-1,Endothelial
nonepicf-1,Macrophages
nonfemcb-1,Endothelial
nonffdea-1,Unknown
nonfipko-1,Macrophages
nonfpkjm-1,Unknown
nongblco-1,Endothelial
nongbmfi-1,Endothelial
nongdeag-1,Epithelial
nonggkci-1,Endothelial
nonggnaj-1,Endothelial
nongidnk-1,Endothelial
nongjoap-1,Endothelial
nongkkeh-1,Fibroblasts
nongklma-1,Fibroblasts
nongopmo-1,Fibroblasts
nonhamnb-1,Unknown
nonhapah-1,Unknown
nonhbgno-1,Epithelial
nonhcnin-1,Endothelial
nonhdgad-1,Macrophages
nonhenof-1,Fibroblasts
nonhfjdp-1,Endothelial
nonhjnhp-1,Endothelial
nonhllbd-1,Macrophages
nonhmnlp-1,Endothelial
noniaelp-1,Macrophages
nonibcal-1,Unknown
noniclel-1,Epithelial
nonifjim-1,Fibroblasts
nonijhje-1,Macrophages
nonijplb-1,Macrophages
nonikhfd-1,CD8+ T cells
noniknim-1,Epithelial
nonjafcm-1,Fibroblasts
nonjchpn-1,Endothelial
nonjclmf-1,Unknown
nonjdahl-1,Unknown
nonjgmad-1,Unknown
nonjhffh-1,Unknown
nonjjpme-1,Endothelial
nonjlbjl-1,Epithelial
nonjldmj-1,Macrophages
nonjmljn-1,Epithelial
nonjmnlc-1,Macrophages
nonjnnod-1,Fibroblasts
nonjoeak-1,Macrophages
nonjpdhl-1,Macrophages
nonkdomp-1,CD8+ T cells
nonkingp-1,Macrophages
nonkjggp-1,Fibroblasts
nonkkndp-1,Unknown
nonklbnc-1,Unknown
nonklhgf-1,Epithelial
nonkpjfk-1,Macrophages
nonkpnel-1,Endothelial
nonkppih-1,CD8+ T cells
nonlbcde-1,Epithelial
nonlbjea-1,Endothelial
nonlbmpi-1,Endothelial
nonlghbl-1,Fibroblasts
nonlhddo-1,Unknown
nonlimlo-1,Unknown
nonllapb-1,Macrophages
nonlnhjj-1,CD8+ T cells
nonlocpf-1,Epithelial
nonloebo-1,Unknown
nonmalpj-1,Macrophages
nonmegfe-1,Unknown
nonmeipc-1,Macrophages
nonmfheg-1,Unknown
nonmfjdn-1,Macrophages
nonmidoh-1,Unknown
nonmldja-1,Unknown
nonmleld-1,Unknown
nonmlkaf-1,Endothelial
nonmpjac-1,Endothelial
nonnakai-1,Endothelial
nonncabe-1,Macrophages
nonncagn-1,Unknown
nonnchcl-1,Fibroblasts
nonnmahe-1,Macrophages
nonoccia-1,Endothelial
nonoelig-1,Unknown
nonofhgc-1,Macrophages
nonogigb-1,Unknown
nonognom-1,Unknown
nonojbib-1,Macrophages
nonomheb-1,Macrophages
nonopeld-1,Macrophages
nonpaeio-1,Endothelial
nonpchgn-1,Macrophages
nonpchlg-1,Unknown
nonpckob-1,Fibroblasts
nonpdofh-1,Endothelial
nonpgpmb-1,Unknown
nonphcok-1,Fibroblasts
nonpjkbn-1,Epithelial
nonpjknm-1,CD8+ T cells
nonpkcok-1,Epithelial
nonpkoke-1,Endothelial
nonpmhoe-1,CD8+ T cells
nonpmodi-1,Epithelial
nonpneka-1,Macrophages
nonpnoag-1,Unknown
nonpoabd-1,Macrophages
nonpoieb-1,Epithelial
nonpompp-1,Unknown
nonpongo-1,Unknown
nonpopde-1,Fibroblasts
nooafoko-1,Unknown
nooahbfa-1,Endothelial
nooajjli-1,Unknown
nooalbhi-1,Unknown
nooamemd-1,Unknown
nooaojmj-1,Epithelial
noobandj-1,Endothelial
noobbjdp-1,Fibroblasts
noobdjgh-1,Fibroblasts
noobecii-1,Unknown
noobfanm-1,Endothelial
noobfemo-1,Macrophages
nooblcbn-1,Endothelial
noobmjha-1,CD8+ T cells
noobnljl-1,Unknown
noobodkm-1,Epithelial
noocjhcd-1,Unknown
noockned-1,Unknown
nooclnmd-1,Endothelial
noocmjhd-1,Macrophages
noocplgl-1,Endothelial
noodabgo-1,Macrophages
noodbboe-1,Macrophages
noodcdpi-1,Unknown
nooddekl-1,Macrophages
noodeiho-1,Unknown
noodfkcd-1,Fibroblasts
noodoaph-1,Macrophages
noodpajl-1,Epithelial
noodpjca-1,Epithelial
nooejagi-1,Fibroblasts
nooejdap-1,Unknown
nooekcdp-1,Fibroblasts
nooemije-1,Unknown
nooepdip-1,Endothelial
noofdamh-1,Endothelial
noofdmjn-1,Unknown
noofdpga-1,Unknown
noofgfjl-1,Endothelial
noofhboh-1,Unknown
noofjhhd-1,Unknown
noofmdlk-1,Unknown
noogbjeg-1,Unknown
noogcpkk-1,Unknown
noogddld-1,Macrophages
noogoaee-1,Unknown
noogobkg-1,Endothelial
noohamoo-1,Epithelial
noohcbmk-1,Macrophages
noohckag-1,Macrophages
noohjhbc-1,Unknown
noohlfnd-1,Endothelial
noohmaco-1,Unknown
noohodki-1,Fibroblasts
noohpiif-1,Endothelial
noohpnkm-1,Endothelial
nooibejm-1,Endothelial
nooiddho-1,B cells
nooilcfg-1,Unknown
nooilgmm-1,Unknown
nooiliek-1,Fibroblasts
nooilkal-1,CD8+ T cells
nooindll-1,CD4+ T cells
nooiplhn-1,CD4+ T cells
nooipnba-1,Endothelial
noojbjkh-1,CD8+ T cells
noojfeed-1,Fibroblasts
noojjgoh-1,CD4+ T cells
noojkmel-1,Unknown
noojomlo-1,CD8+ T cells
nookaidj-1,Fibroblasts
nookbmcj-1,Endothelial
nookciel-1,CD4+ T cells
nookegml-1,Endothelial
nookeoki-1,Unknown
nookinig-1,Macrophages
nooklnoo-1,Fibroblasts
nookmghc-1,Unknown
nookndpl-1,Endothelial
noolaedk-1,Endothelial
noolanga-1,B cells
noolfmel-1,Unknown
noolfpfk-1,B cells
nooljnml-1,B cells
noolkdka-1,B cells
noolldic-1,B cells
noolncdp-1,Endothelial
nooloebd-1,Unknown
noolopkf-1,Endothelial
noolplie-1,B cells
noomdhkl-1,Unknown
noomdmpa-1,B cells
noomifka-1,B cells
noomjmel-1,B cells
noomjpei-1,B cells
noonacbn-1,B cells
noonagpo-1,Macrophages
nooncfkc-1,B cells
noonchpn-1,B cells
nooncpmk-1,B cells
noondjjb-1,Endothelial
noonghin-1,Endothelial
noonjain-1,Unknown
noonjfnn-1,B cells
noooccge-1,B cells
nooodglk-1,Unknown
noooglon-1,B cells
nooohnkh-1,B cells
noooikdp-1,B cells
nooojgfc-1,B cells
nooojjfc-1,Unknown
nooojpje-1,Endothelial
noopabpi-1,Unknown
noopcghj-1,CD8+ T cells
noopdcdm-1,Endothelial
noopijdm-1,Unknown
noopilpc-1,B cells
noopjglj-1,Endothelial
noopmkci-1,Unknown
noopnahc-1,Endothelial
noopoiaa-1,Fibroblasts
nopadgae-1,Unknown
nopafimb-1,Unknown
nopafimi-1,Unknown
nopagdgj-1,Unknown
nopajlbd-1,Endothelial
nopakedm-1,Unknown
nopaljnb-1,Endothelial
nopamcdm-1,B cells
nopaonjg-1,Unknown
nopapnje-1,B cells
nopbdefd-1,B cells
nopbfcal-1,B cells
nopbfiaf-1,Unknown
nopbfifb-1,Unknown
nopbfkpk-1,Unknown
nopbgifk-1,Macrophages
nopbnfhm-1,Unknown
nopccjjh-1,Endothelial
nopckjio-1,Endothelial
nopcllpl-1,Endothelial
nopcmpfh-1,Endothelial
nopcnedj-1,Fibroblasts
nopcoadd-1,Unknown
nopcpfea-1,Endothelial
nopdbcne-1,B cells
nopddjhg-1,CD8+ T cells
nopdfppa-1,Unknown
nopdhaeg-1,Macrophages
nopdpdoc-1,Macrophages
nopeakkg-1,Fibroblasts
nopedldf-1,Unknown
nopegghi-1,Unknown
nopegifm-1,Endothelial
nopekkpo-1,CD8+ T cells
nopemkfd-1,CD8+ T cells
nopenclm-1,Unknown
nopenfie-1,CD4+ T cells
nopepnli-1,Endothelial
nopfaoie-1,B cells
nopfielb-1,CD8+ T cells
nopfjbhn-1,CD4+ T cells
nopfjdac-1,Endothelial
nopfkdld-1,Macrophages
nopgdfcc-1,Unknown
nopggkmi-1,CD4+ T cells
nopghjic-1,Unknown
nopghkfi-1,Unknown
nopgibjd-1,Unknown
nopgjojn-1,Endothelial
nopgkjlc-1,Endothelial
nopgkklb-1,Unknown
nopgpjme-1,Endothelial
nophfili-1,Unknown
nophgehf-1,Endothelial
nophhdoc-1,Endothelial
nophiilc-1,Unknown
nophkpcn-1,Unknown
nophllok-1,B cells
nophpibc-1,B cells
nopiampm-1,Unknown
nopicmoo-1,B cells
nopidaoi-1,B cells
nopieaen-1,CD4+ T cells
nopihkeh-1,B cells
nopiifid-1,Unknown
nopilcok-1,CD4+ T cells
nopilimj-1,Endothelial
nopimhoe-1,B cells
nopinkng-1,B cells
nopioadj-1,B cells
nopiodnh-1,B cells
nopjbonc-1,B cells
nopjepec-1,Macrophages
nopjhbhl-1,CD4+ T cells
nopjmbjd-1,B cells
nopjnboo-1,CD4+ T cells
nopkaihi-1,Unknown
nopkbpfd-1,Unknown
nopkedko-1,Endothelial
nopkegom-1,B cells
nopkgbka-1,Macrophages
nopkibhe-1,B cells
nopklmff-1,B cells
noplacno-1,CD8+ T cells
noplckco-1,Endothelial
noplfmak-1,Macrophages
nopljiic-1,Macrophages
nopljjgi-1,Endothelial
noplkacf-1,Unknown
noploeoi-1,Unknown
nopmacck-1,Macrophages
nopmcfio-1,Endothelial
nopmcmgl-1,Macrophages
nopmdfon-1,B cells
nopmhdhi-1,Endothelial
nopmhdjn-1,Endothelial
nopmhomd-1,Unknown
nopmjapo-1,Unknown
nopmkdgn-1,Endothelial
nopmnjjn-1,Endothelial
nopnaihb-1,B cells
nopndibe-1,B cells
nopnfhpd-1,B cells
nopnifii-1,Unknown
nopnneja-1,Endothelial
nopoakem-1,Macrophages
nopobogg-1,B cells
nopocpel-1,Unknown
nopodahl-1,Endothelial
nopoekfj-1,Unknown
nopofeme-1,CD8+ T cells
nopogkpo-1,Endothelial
nopohcjc-1,Endothelial
nopojhki-1,Unknown
nopokfaj-1,Endothelial
nopolahk-1,Endothelial
nopoolje-1,Fibroblasts
nopoopnp-1,Unknown
noppapkh-1,Endothelial
noppbgfa-1,Endothelial
noppcljo-1,Unknown
noppdjgd-1,Endothelial
noppfkhe-1,Endothelial
noppfnkf-1,B cells
noppijcp-1,B cells
noppijka-1,B cells
noppiknc-1,B cells
noppkkpe-1,B cells
nopplakh-1,B cells
nopplgoj-1,B cells
noppodgl-1,Endothelial
npaabeek-1,Macrophages
npaadgde-1,Endothelial
npaafkmf-1,Fibroblasts
npaahpak-1,B cells
npaaidgf-1,Unknown
npaaikmb-1,Macrophages
npaaimcg-1,CD8+ T cells
npaamnop-1,Unknown
npabbkmj-1,Endothelial
npabdbib-1,Unknown
npabgpck-1,Unknown
npabgpfp-1,Unknown
npabkgco-1,Endothelial
npabpdgj-1,Unknown
npacabao-1,B cells
npacajed-1,B cells
npacgmon-1,B cells
npacimkm-1,Unknown
npacnafh-1,Unknown
npacnfbn-1,Endothelial
npadbcel-1,Unknown
npadbhdc-1,CD4+ T cells
npadjeod-1,CD8+ T cells
npadlnio-1,B cells
npadnoam-1,B cells
npaedjbd-1,B cells
npaedmhg-1,B cells
npaeedjl-1,CD8+ T cells
npaehhpp-1,B cells
npaejmlj-1,B cells
npaeolfi-1,Endothelial
npaepfkb-1,Endothelial
npafcbmd-1,Endothelial
npafciph-1,Endothelial
npafdkna-1,Unknown
npafefbe-1,B cells
npaffkfj-1,CD8+ T cells
npafkdja-1,CD8+ T cells
npafkicb-1,Unknown
npafmbjg-1,Epithelial
npafmepd-1,Macrophages
npafojpj-1,CD4+ T cells
npafpaan-1,CD8+ T cells
npagcnmn-1,Unknown
npageleo-1,Endothelial
npagfddp-1,Macrophages
npagfnci-1,Unknown
npaggjah-1,Endothelial
npagijmj-1,Endothelial
npahgihp-1,Macrophages
npahhima-1,Endothelial
npahilkl-1,Unknown
npahnfjc-1,Fibroblasts
npahngml-1,Endothelial
npahpiii-1,Endothelial
npaialdj-1,Endothelial
npaidmoi-1,Endothelial
npaiedbc-1,Endothelial
npaijjhp-1,Endothelial
npaikhlh-1,Macrophages
npailkcb-1,Unknown
npaimhpo-1,Endothelial
npaimleg-1,Endothelial
npajbgmn-1,Unknown
npajccjo-1,Unknown
npajfchl-1,Endothelial
npajfjme-1,Unknown
npajfmho-1,Unknown
npajhjmc-1,B cells
npajhkpo-1,Endothelial
npajjghh-1,Unknown
npajkhop-1,Endothelial
npajmlpj-1,Endothelial
npajojpa-1,Endothelial
npajpjeb-1,Fibroblasts
npajpjpj-1,Unknown
npajpnah-1,Unknown
npakapao-1,Epithelial
npakfbhk-1,B cells
npaknblj-1,Endothelial
npakobge-1,Macrophages
npalaeii-1,Endothelial
npalbegc-1,Unknown
npaldcfh-1,Unknown
npalhnho-1,Unknown
npalidhb-1,Unknown
npaljjbn-1,Endothelial
npallkdm-1,Unknown
npalloal-1,CD8+ T cells
npalnekp-1,Unknown
npalppnm-1,Unknown
npamfbkb-1,CD8+ T cells
npamfooj-1,Unknown
npamgmlb-1,Unknown
npamimhi-1,Unknown
npampfkp-1,Unknown
npanbfef-1,Unknown
npanemhb-1,Unknown
npanffpl-1,Unknown
npanolcf-1,Unknown
npaoalai-1,Unknown
npaodfoa-1,Endothelial
npaoghkf-1,Unknown
npaohefh-1,Unknown
npaolbmh-1,CD4+ T cells
npaomebh-1,Endothelial
npaomlin-1,Endothelial
npaondcg-1,Epithelial
npaoocja-1,Unknown
npaoofeo-1,Unknown
npaopclh-1,CD8+ T cells
npapanbf-1,Macrophages
npapbccg-1,B cells
npapcana-1,Unknown
npapcebk-1,Macrophages
npapckhm-1,CD8+ T cells
npapgjhd-1,Unknown
npapgmah-1,Unknown
npapjdno-1,Unknown
npapjlfk-1,Macrophages
npapklbg-1,Macrophages
npapmbim-1,Macrophages
npbabbaj-1,Macrophages
npbadejg-1,Endothelial
npbaflpn-1,CD8+ T cells
npbakknh-1,Endothelial
npbancai-1,Unknown
npbapeaj-1,Endothelial
npbapife-1,Unknown
npbbladh-1,Unknown
npbbmpmm-1,Macrophages
npbboaik-1,Macrophages
npbcapef-1,Unknown
npbcglaj-1,Unknown
npbchefm-1,CD8+ T cells
npbdbkgc-1,Unknown
npbddkkn-1,Endothelial
npbdgmbk-1,Unknown
npbdhpfh-1,B cells
npbdjkhh-1,Unknown
npbdkibk-1,Unknown
npbdmcce-1,Macrophages
npbdmhdd-1,Unknown
npbeblfd-1,CD4+ T cells
npbebpnd-1,Endothelial
npbecfhn-1,Unknown
npbegmnc-1,Endothelial
npbemaej-1,Unknown
npbeogce-1,Endothelial
npbfabac-1,Macrophages
npbfcpik-1,CD8+ T cells
npbfemhl-1,Endothelial
npbfgfjd-1,Macrophages
npbfmhaj-1,B cells
npbgamhe-1,Endothelial
npbgcjch-1,Endothelial
npbgjahj-1,Unknown
npbgjkfc-1,Macrophages
npbglceb-1,Fibroblasts
npbgmlbk-1,Endothelial
npbgmpkp-1,Endothelial
npbgnbbo-1,Fibroblasts
npbgofjd-1,B cells
npbgojha-1,Endothelial
npbgpnkk-1,B cells
npbhaakp-1,Macrophages
npbhdkhb-1,CD8+ T cells
npbhemfd-1,CD8+ T cells
npbhiffa-1,Macrophages
npbhlknm-1,Endothelial
npbhmigh-1,Unknown
npbhnalb-1,Unknown
npbhpjlg-1,Endothelial
npbhpkgd-1,Macrophages
npbibkoa-1,CD8+ T cells
npbiclle-1,Unknown
npbidgjj-1,B cells
npbiebkd-1,B cells
npbinbgd-1,B cells
npbjadio-1,Unknown
npbjdjkf-1,Endothelial
npbjdmek-1,B cells
npbjegkl-1,B cells
npbjffgp-1,Unknown
npbjidpb-1,B cells
npbjipep-1,Endothelial
npbjjcam-1,Endothelial
npbjjmae-1,Unknown
npbjkmgi-1,Endothelial
npbjmpcl-1,Macrophages
npbjoflo-1,Unknown
npbjpbem-1,Unknown
npbkjeha-1,Endothelial
npblcfli-1,CD8+ T cells
npblfabl-1,Unknown
npblhcje-1,Unknown
npblkcaj-1,Unknown
npbllhil-1,Unknown
npbllolh-1,Unknown
npbmbdnb-1,Endothelial
npbmbgfa-1,CD8+ T cells
npbmdjai-1,Endothelial
npbmecle-1,CD8+ T cells
npbmfdek-1,CD8+ T cells
npbmhgno-1,Unknown
npbmjhab-1,Macrophages
npbmjood-1,CD8+ T cells
npbmmijc-1,Unknown
npbmojgj-1,Unknown
npbmpfkg-1,Macrophages
npbnaklh-1,CD8+ T cells
npbnblhg-1,Fibroblasts
npbnekmg-1,Unknown
npbnolll-1,Macrophages
npbnongc-1,Epithelial
npbocklp-1,Endothelial
npbocohf-1,Unknown
npbodnpj-1,Unknown
npboehpj-1,CD8+ T cells
npbofjpd-1,Macrophages
npbohien-1,Unknown
npbolkpm-1,Fibroblasts
npbomdhn-1,Endothelial
npboomej-1,Endothelial
npbopbce-1,Unknown
npbpabad-1,Macrophages
npbpamem-1,Unknown
npbpclcg-1,Unknown
npbpefgl-1,Unknown
npbphipd-1,Unknown
npbpiddo-1,Unknown
npbpkfle-1,Unknown
npbpojam-1,Endothelial
npcaaekk-1,Macrophages
npcaaieb-1,Macrophages
npcaakcc-1,Unknown
npcacdfi-1,Endothelial
npcagick-1,Unknown
npcaigcd-1,Endothelial
npcambce-1,CD4+ T cells
npcamkcl-1,Endothelial
npcanjbl-1,Unknown
npcaoiop-1,Fibroblasts
npcbaann-1,Endothelial
npcbbcof-1,B cells
npcbbnll-1,B cells
npcbdhaj-1,B cells
npcbdndo-1,B cells
npcbgccc-1,B cells
npcbgfne-1,B cells
npcbifma-1,Endothelial
npcbkkan-1,Unknown
npcbmfip-1,Unknown
npccaapd-1,Unknown
npccbanc-1,B cells
npccecdo-1,B cells
npcchgag-1,B cells
npccmplj-1,B cells
npcdando-1,Endothelial
npcdboke-1,Fibroblasts
npcddidp-1,Macrophages
npcddild-1,Endothelial
npcdefef-1,B cells
npcdgibl-1,Endothelial
npcdgijl-1,Unknown
npcdgohm-1,Unknown
npcdhfge-1,Epithelial
npcdkclh-1,Unknown
npcdkfak-1,Unknown
npcdklbk-1,Unknown
npcdlbhe-1,Unknown
npcdleoc-1,Unknown
npcdlfbh-1,Unknown
npcdmkce-1,Endothelial
npcechnn-1,Unknown
npcefngh-1,Macrophages
npcegdmk-1,Endothelial
npcegnce-1,Unknown
npcehiag-1,Macrophages
npcfajio-1,Unknown
npcfdodn-1,B cells
npcfigap-1,Unknown
npcfjgbo-1,Endothelial
npcfnaja-1,Unknown
npcganln-1,Endothelial
npcgcfaa-1,B cells
npcgeejh-1,Fibroblasts
npcgelhe-1,Unknown
npcggikk-1,Endothelial
